Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
6,LATIN                  ,A,2023,48,37.5,25,20.8,6.3,2.1,4.2,2.1,2.1
7,ANCIENT GREEK          ,A,2023,11,36.4,18.2,36.4,0,9.1,0,0,0
8,CLASSICAL STUDIES      ,A,2023,566,17.3,23.3,27.6,17.1,6.7,5.5,2.1,0.4
8,CLASSICAL STUDIES      ,G,2023,44,18.2,9.1,43.2,9.1,13.6,4.5,2.3,0
10,FRENCH                 ,A,2023,14701,15.8,19.2,20.8,20,15.4,6.8,1.8,0.3
10,FRENCH                 ,G,2023,5130,2.6,11.2,21.7,24.8,21.1,12.8,4.5,1.3
11,GERMAN                 ,A,2023,6129,14.8,15.2,17.6,19.8,17.7,10.2,3.8,0.8
11,GERMAN                 ,G,2023,1729,3.5,13.6,26,24.9,16.8,8.6,4.2,2.3
12,SPANISH                ,A,2023,7574,17.6,19,19.3,19.7,14.8,7.1,2,0.4
12,SPANISH                ,G,2023,2520,5,20.9,28.8,21.4,12.7,6.5,3.3,1.3
13,ITALIAN                ,A,2023,409,43,18.6,11.5,11.7,9.8,4.2,0.7,0.5
13,ITALIAN                ,G,2023,64,1.6,6.3,32.8,25,17.2,7.8,4.7,4.7
14,ART                    ,A,2023,7642,16.6,25.6,25.5,19.1,9.4,2.7,0.6,0.4
14,ART                    ,G,2023,1502,15.3,32,29.6,9.8,5.5,2.3,1.3,4.1
17,DUTCH                  ,A,2023,28,46.4,21.4,3.6,14.3,7.1,0,0,7.1
18,PORTUGUESE             ,A,2023,187,76.5,11.2,5.3,2.7,1.6,2.1,0,0.5
20,APPLIED MATHEMATICS    ,A,2023,1701,31,21.5,15.2,14.2,10,4.9,2.6,0.6
20,APPLIED MATHEMATICS    ,G,2023,52,13.5,19.2,23.1,11.5,7.7,11.5,7.7,5.8
21,PHYSICS                ,A,2023,6143,21.2,17.1,13.8,13.5,13.9,10.6,5.7,4
21,PHYSICS                ,G,2023,1383,10,18.1,20,16.8,15.5,7.5,5.8,6.3
22,CHEMISTRY              ,A,2023,8068,23.2,17.2,15.4,13.2,11.3,8.7,5.6,5.3
22,CHEMISTRY              ,G,2023,1682,6.4,13.1,17.2,17.7,16.9,11.8,9,7.9
23,PHYSICS & CHEMISTRY    ,A,2023,344,16.3,14,13.4,16,16.6,11.3,7,5.5
23,PHYSICS & CHEMISTRY    ,G,2023,63,0,1.6,9.5,15.9,11.1,22.2,15.9,23.8
24,AGRICULTURAL SCIENCE   ,A,2023,6132,13.1,23.6,23.3,19.4,12.6,5.8,1.4,0.7
24,AGRICULTURAL SCIENCE   ,G,2023,1328,1.1,9.4,23.2,24.2,19.7,12.5,6.6,3.3
25,BIOLOGY                ,A,2023,28724,19.2,16.4,16.3,15.4,14.6,10.7,5.4,2.1
25,BIOLOGY                ,G,2023,5879,4,17,29,22.9,14.5,7.1,3.5,2.1
27,ENGINEERING            ,A,2023,5623,15.9,25.7,25.5,19,9.1,3.2,0.9,0.6
27,ENGINEERING            ,G,2023,699,3.7,13.6,27,25,15.6,7.2,5.2,2.7
29,CONSTRUCTION STUDIES   ,A,2023,9165,8.5,24,28.8,21.9,11.2,3.8,1.3,0.4
29,CONSTRUCTION STUDIES   ,G,2023,1095,0.5,6.8,22.3,26.8,19.5,10.7,6.6,6.8
32,ACCOUNTING             ,A,2023,5051,20.4,19.8,15,14.1,12,9.6,4.1,4.9
32,ACCOUNTING             ,G,2023,2007,17.3,13.7,12.1,13,11.4,9.8,7.9,14.9
33,BUSINESS               ,A,2023,15869,12.1,18.3,18.6,17.6,17,9.2,4.9,2.4
